#OTU ID	Blank2	Blank3	NTC1	NTC2	R1	R10	R11	R12	R13	R14	R15	R16	R2	R3	R4	R5	R6	R7	R8	R9	taxonomy
bc5135beb3c005a71dbb7886a3e68e21	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	37	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp016287985
239a49ca415d95d6b11cdcb9a1e97241	0	0	0	0	0	0	25	54	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71
8e3381787ad54310f5884ad241e1564f	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	77	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
919583a2fd42489623232b15ff3c6ba3	0	0	0	0	0	20	0	0	0	40	0	0	0	0	0	0	0	0	0	18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4334;s__UBA4334 sp024688885
25fc901f34104a9c1aaf7a5e6ce7d5e1	0	0	0	0	0	18	0	0	0	37	0	0	0	0	0	0	0	0	0	23	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria
be1d53fc4446a81269da3e41fd96f06c	0	0	0	0	0	15	6	9	0	0	0	0	0	0	0	0	0	15	11	22	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410
37b83559b331c5efafc2b4348c8f4e6a	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269
089d1a07b646d22f171cca2c89a87b1e	0	0	0	0	0	0	22	56	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
3345a3c12bf6738c67b3877c07776a0b	0	0	0	0	0	0	0	0	52	0	0	0	0	15	11	0	0	0	0	0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp016284885
d7cd3cad5664e5e2a26ddbb84530e62c	0	0	0	0	0	0	0	0	46	0	0	0	0	13	19	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp928721565
af9e7892031407c653ce82967befaf2d	0	0	0	0	0	0	0	0	41	0	0	0	0	0	37	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
bc6d90461e39d0636c4e947b73d86206	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	7	41	0	0	0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parafannyhessea
4def49f453b5169cc2d7657ab32c4f0a	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	36	21	5	0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio
bff3e83c3df43921754738322e5aabf0	0	0	0	0	24	37	0	0	0	0	0	0	0	0	0	0	0	0	0	16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900167895
726b94d33abaed96fe541360c66b8f98	0	0	0	0	0	38	0	0	0	39	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Bact-11;s__Bact-11 sp902778855
c151204a65c1f9311e8e6f2b2be1c9e4	0	0	0	0	0	17	13	21	0	5	0	0	0	0	0	0	0	0	0	21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp017547165
7408976ba1bc059ee742a6117f4eb63a	0	0	0	0	0	8	27	42	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__MT110;s__MT110 sp015243575
da1c194f49201497c04234c0aa939aae	0	0	0	0	0	0	52	25	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__Fermentimonas massiliensis
ad7b3fdd730fa9da38235ae34a34cc68	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
